"DATA_STORE","IS_INCREMENTAL","PK_TABLE","INTERFACE_TABLE","FILE_PREFIX","ENABLE_EXTRACT","PRIMARY_EXTRACT","EXTRACT_GROUP"
"FscmTopModelAM.OrganizationAM.OrganizationUnitTranslationPVO","Y","HR_ORGANIZATION_UNIT_TRANSLATION_PK_INTF","HR_ORGANIZATION_UNIT_TRANSLATION_PVO_INTF","file_fscmtopmodelam_organizationam_organizationunittranslationpvo","Y","Y",""
"FscmTopModelAM.ScmExtractAM.WshBiccExtractAM.DeliveryExtractPVO","Y","WSH_DELIVERY_EXTRACT_PK_INTF","WSH_DELIVERY_EXTRACT_PVO_INTF","file_fscmtopmodelam_scmextractam_wshbiccextractam_deliveryextractpvo","Y","Y",""
"FscmTopModelAM.ScmExtractAM.WshBiccExtractAM.DeliveryLineExtractPVO","Y","WSH_DELIVERY_LINE_EXTRACT_PK_INTF","WSH_DELIVERY_LINE_EXTRACT_PVO_INTF","file_fscmtopmodelam_scmextractam_wshbiccextractam_deliverylineextractpvo","Y","Y",""
"FscmTopModelAM.PartiesAnalyticsAM.PartySite","Y","HZ_PARTY_SITE_PK_INTF","HZ_PARTY_SITE_PVO_INTF","file_fscmtopmodelam_partiesanalyticsam_partysite","Y","Y",""
"FscmTopModelAM.ScmExtractAM.WshBiccExtractAM.DeliveryLineAssignmentExtractPVO","Y","WSH_DELIVERY_LINE_ASSIGNMENT_EXTRACT_PK_INTF","WSH_DELIVERY_LINE_ASSIGNMENT_EXTRACT_PVO_INTF","file_fscmtopmodelam_scmextractam_wshbiccextractam_deliverylineassignmentextractpvo","Y","Y",""
"FscmTopModelAM.ScmExtractAM.InvBiccExtractAM.TransferOrderHeaderExtractPVO","Y","INV_TRANSFER_ORDER_HEADER_EXTRACT_PK_INTF","INV_TRANSFER_ORDER_HEADER_EXTRACT_PVO_INTF","file_fscmtopmodelam_scmextractam_invbiccextractam_transferorderheaderextractpvo","Y","Y",""
"FscmTopModelAM.ScmExtractAM.InvBiccExtractAM.TransferOrderLineExtractPVO","Y","INV_TRANSFER_ORDER_LINE_EXTRACT_PK_INTF","INV_TRANSFER_ORDER_LINE_EXTRACT_PVO_INTF","file_fscmtopmodelam_scmextractam_invbiccextractam_transferorderlineextractpvo","Y","Y",""
"FscmTopModelAM.PartiesAnalyticsAM.PartyUsage","Y","HZ_PARTY_USAGE_PVO_INTF_PK","HZ_PARTY_USAGE_PVO_INTF","file_fscmtopmodelam_partiesanalyticsam_partyusage","N","Y",""
"FscmTopModelAM.CustAcctInformationBIAM.FLEX_BI_CustAcctInformation_VI","Y","HZ_CUST_ACCT_DFF_PK_INTF","HZ_CUST_ACCT_DFF_PVO_INTF","file_fscmtopmodelam_custacctinformationbiam_flex_bi_custacctinformation_vi","Y","Y",""
"FscmTopModelAM.ScmExtractAM.EgpBiccExtractAM.TradingPartnerItemsExtractPVO","Y","INV_TRANDING_PARTNER_ITEMS_PK_INTF","INV_TRANDING_PARTNER_ITEMS_PVO_INTF","file_fscmtopmodelam_scmextractam_egpbiccextractam_tradingpartneritemsextractpvo","Y","",""
"FscmTopModelAM.AnalyticsServiceAM.LookupValuesPVO","Y","LOOKUP_VALUES_PK_INTF","LOOKUP_VALUES_PVO_INTF","file_fscmtopmodelam_analyticsserviceam_lookupvaluespvo","Y","Y",""
